# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Wed May 13 14:59:58 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01471 0.00000 9.00000 1.3999999762 2.5299650300    1.400  0.658  3.8417  4.245    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.273e-01 2.586e-01 2.496e-03 6.822e-04 6.202e-03 -1.000 1.412e-02 3.125 3.006 3.184 2.695
0.01471 0.00000 9.00000 1.4399902821 2.5337029813    1.440  0.719  3.8495  4.228    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.276e-01 2.583e-01 2.494e-03 6.817e-04 6.198e-03 -1.000 1.413e-02 2.973 2.857 3.022 2.565
0.01471 0.00000 9.00000 1.4500000477 2.5346015836    1.450  0.734  3.8514  4.223    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.276e-01 2.582e-01 2.493e-03 6.816e-04 6.197e-03 -1.000 1.414e-02 2.936 2.820 2.982 2.533
0.01471 0.00000 9.00000 1.4882066250 2.5379040649    1.488  0.789  3.8591  4.210    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 7.279e-01 2.580e-01 2.491e-03 6.811e-04 6.192e-03 -1.000 1.411e-02 2.797 2.683 2.833 2.415
0.01471 0.00000 9.00000 1.5000000000 2.5388844597    1.500  0.806  3.8613  4.205    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-13      0.00 7.280e-01 2.579e-01 2.491e-03 6.810e-04 6.191e-03 -1.000 1.410e-02 2.754 2.642 2.788 2.379
0.01471 0.00000 9.00000 1.5499999523 2.5428511323    1.550  0.876  3.8703  4.186    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.283e-01 2.577e-01 2.489e-03 6.802e-04 6.187e-03 -1.000 1.402e-02 2.581 2.472 2.605 2.232
0.01471 0.00000 9.00000 1.5916202068 2.5459353600    1.591  0.932  3.8768  4.167    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.284e-01 2.576e-01 2.488e-03 6.800e-04 6.185e-03 -1.000 1.408e-02 2.440 2.335 2.458 2.112
0.01471 0.00000 9.00000 1.6000000238 2.5465340628    1.600  0.943  3.8780  4.163    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-13      0.00 7.284e-01 2.576e-01 2.488e-03 6.802e-04 6.184e-03 -1.000 1.407e-02 2.412 2.308 2.428 2.088
0.01471 0.00000 9.00000 1.6272027493 2.5484288036    1.627  0.979  3.8815  4.148    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.72e-14      0.00 7.284e-01 2.575e-01 2.488e-03 6.801e-04 6.183e-03 -1.000 1.404e-02 2.323 2.220 2.335 2.009
0.01471 0.00000 9.00000 1.6500000954 2.5499614852    1.649  1.009  3.8841  4.135    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -6.1e-14      0.00 7.284e-01 2.575e-01 2.487e-03 6.801e-04 6.183e-03 -1.000 1.407e-02 2.248 2.147 2.258 1.943
0.01471 0.00000 9.00000 1.6637744904 2.5508641738    1.663  1.027  3.8856  4.127    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-18      0.00 7.284e-01 2.575e-01 2.488e-03 6.801e-04 6.183e-03 -1.000 1.408e-02 2.203 2.103 2.211 1.903
0.01471 0.00000 9.00000 1.7000000477 2.5531580802    1.699  1.074  3.8890  4.103    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.284e-01 2.576e-01 2.488e-03 6.804e-04 6.183e-03 -1.000 1.407e-02 2.085 1.987 2.089 1.796
0.01471 0.00000 9.00000 1.7298630476 2.5549662417    1.729  1.112  3.8916  4.082    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.284e-01 2.576e-01 2.488e-03 6.805e-04 6.182e-03 -1.000 1.405e-02 1.989 1.892 1.990 1.709
0.01471 0.00000 9.00000 1.7500000000 2.5561455243    1.749  1.138  3.8929  4.066    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.283e-01 2.576e-01 2.489e-03 6.805e-04 6.183e-03 -1.000 1.403e-02 1.924 1.828 1.924 1.649
0.01471 0.00000 9.00000 1.7665035725 2.5570890058    1.765  1.159  3.8940  4.053    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.283e-01 2.577e-01 2.489e-03 6.806e-04 6.183e-03 -1.000 1.406e-02 1.872 1.775 1.870 1.600
0.01471 0.00000 9.00000 1.7961140871 2.5587319145    1.795  1.197  3.8952  4.027    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.282e-01 2.577e-01 2.489e-03 6.808e-04 6.185e-03 -1.000 1.408e-02 1.777 1.681 1.773 1.509
0.01471 0.00000 9.00000 1.7999998331 2.5589429021    1.799  1.202  3.8952  4.024    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.282e-01 2.577e-01 2.489e-03 6.809e-04 6.186e-03 -1.000 1.408e-02 1.764 1.668 1.760 1.497
0.01471 0.00000 9.00000 1.8225686550 2.5601479123    1.821  1.231  3.8956  4.001    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.281e-01 2.578e-01 2.490e-03 6.812e-04 6.186e-03 -1.000 1.405e-02 1.692 1.595 1.686 1.425
0.01471 0.00000 9.00000 1.8499999046 2.5615671142    1.849  1.266  3.8954  3.972    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.280e-01 2.580e-01 2.491e-03 6.817e-04 6.187e-03 -1.000 1.408e-02 1.604 1.506 1.597 1.337
0.01471 0.00000 9.00000 1.8551179171 2.5618265659    1.854  1.273  3.8953  3.966    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.279e-01 2.580e-01 2.491e-03 6.817e-04 6.188e-03 -1.000 1.409e-02 1.588 1.490 1.580 1.321
0.01471 0.00000 9.00000 1.8823246956 2.5631785872    1.881  1.307  3.8942  3.934    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.278e-01 2.581e-01 2.492e-03 6.818e-04 6.191e-03 -1.000 1.411e-02 1.502 1.402 1.493 1.231
0.01471 0.00000 9.00000 1.8999999762 2.5640331260    1.899  1.329  3.8927  3.910    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.277e-01 2.582e-01 2.493e-03 6.819e-04 6.193e-03 -1.000 1.411e-02 1.447 1.344 1.437 1.170
0.01471 0.00000 9.00000 1.9149891138 2.5647436018    1.914  1.348  3.8914  3.890    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.276e-01 2.582e-01 2.493e-03 6.820e-04 6.195e-03 -1.000 1.412e-02 1.400 1.295 1.390 1.119
0.01471 0.00000 9.00000 1.9452922344 2.5661415669    1.945  1.386  3.8872  3.842    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.275e-01 2.584e-01 2.495e-03 6.823e-04 6.198e-03 -1.000 1.407e-02 1.306 1.196 1.296 1.010
0.01471 0.00000 9.00000 1.9500000477 2.5663542714    1.950  1.391  3.8863  3.834    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.275e-01 2.585e-01 2.495e-03 6.823e-04 6.199e-03 -1.000 1.406e-02 1.292 1.181 1.282 0.993
0.01471 0.00000 9.00000 1.9707070589 2.5672759794    1.971  1.416  3.8823  3.797    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.273e-01 2.586e-01 2.496e-03 6.826e-04 6.201e-03 -1.000 1.406e-02 1.229 1.114 1.221 0.916
